"","SUBBA","area_km2","roadLength_km","roadDensity_kmkm2","pipeLength_km","pipeDensity_kmkm2"
"1",1,2.64664507782918,22.8319799800343,8.62676305610325,11.8765931360843,4.48741436302659
"2",2,1.16625756347878,16.0429189597694,13.7558970352275,6.18872059814745,5.3064784246178
"3",3,0.908320325132025,15.9666424574808,17.5782067357791,11.2823897192892,12.4211573903174
"4",4,2.08293970038367,19.1648381651536,9.20086076501568,9.40409041329787,4.51481644502992
"5",5,1.00252544753972,10.0442792488399,10.0189768484076,5.37381839322544,5.36028128404442
"6",6,1.75509857424077,24.0758790656023,13.7176791201127,10.9338724233705,6.22977682498565
"7",7,1.48711921811046,17.6512079109033,11.8693966804699,12.3339057048565,8.29382443226581
"8",8,2.00014060528762,30.4499022823832,15.223880862118,20.2113685479238,10.1049738675834
"9",9,1.69551667310103,27.7642467886869,16.3750951135781,18.7823376199289,11.0776484347847
"10",10,2.26235298906679,17.3189642741578,7.65528825866461,13.5138269424362,5.97335031612841
"11",11,1.0895851110683,8.83354712973654,8.10725756070177,5.84171050492267,5.36140815947373
"12",12,0.766840685012527,9.57419543938372,12.4852471008725,2.3957892595312,3.12423337253169
"13",13,1.56877644213752,23.1679596137077,14.7681715452971,7.16305588518983,4.56601443825221
"14",14,1.89173886217254,30.4233445521902,16.0822115359257,25.5170174268455,13.4886574130749
"15",15,1.36162765099828,24.2670107076339,17.8220607446115,8.59979554279693,6.31582028794142
"16",16,1.86328027759695,16.1893941067696,8.68865210533377,8.92071025778943,4.78763735388987
"17",17,1.57473935602646,13.7791517337165,8.75011580867922,4.78708961512364,3.03992504969388
"18",18,2.16118578839876,33.5769174388497,15.5363401050898,23.7909206542916,11.0082718394694
"19",19,1.5265001089555,24.2746314798451,15.9021485405952,9.6472752135377,6.31986539466336
"20",20,2.9055771083492,41.0608706595179,14.1317435842708,16.125977720623,5.55000852473846
"21",21,2.04905452201937,29.2990064181997,14.2987929815186,8.25248872339569,4.02746175600185
"22",22,1.75876687142637,21.4925425459902,12.2202339009034,8.81550404554546,5.01232095553179
"23",23,2.52756988021682,23.0000917400325,9.09968579703898,10.1398772086911,4.01170993848894
"24",24,2.06028742405255,13.6821068228808,6.64087285256943,4.70785079822602,2.28504564133375
"25",25,1.62097589054741,15.4335049212636,9.52111935239928,4.62771309284538,2.85489322810507
"26",26,2.96477974511409,22.1655308598136,7.47628247809707,8.18673534379111,2.76133003042898
"27",27,1.63927342680596,20.0601780157821,12.2372373563502,4.0545797513606,2.47340052309684
"28",28,1.88534858101726,4.50752800963029,2.39081942459585,0.3932868250691,0.208601650129281
"29",29,1.50605540986585,8.26190800009871,5.48579285063267,1.45328339978395,0.964960113860222
"30",30,2.50738484314458,6.68407041680362,2.66575369755404,1.83697251291904,0.732624877246703
"31",31,2.99153755495391,13.873056631764,4.63743355278644,1.66501323022206,0.556574403508602
"32",32,3.4035396622832,18.0818174886727,5.31265073507116,0.144637271288668,0.0424961321566152
"33",33,4.81558318012354,26.0297229382771,5.40531062690714,0,0
